515,974.886,675,934.886,2058.6,1
835,385.12,914.88,415,562.216,1
445,524.867,515.133,585,5414.48,1
664.855,635,515.145,585,2718.19,1
594.852,15,435,125.148,287.278,1
675,864.851,675,934.851,135.207,1
515.153,585,445,524.847,8119.96,1
664.844,635,515.156,585,2718.36,1
675,864.843,675,934.843,135.217,1
515,365.159,535,345.159,1303.72,1
435,125.16,594.84,15,444.605,1
664.838,635,515.162,585,2718.46,1
594.834,15,435,125.166,287.266,1
515,365.168,535,345.168,1303.72,1
664.83,635,515.17,585,2718.59,1
55.1725,545,145.172,345,972.8,0
55.1751,545,145.175,345,972.807,0
664.822,635,515.178,585,2718.72,1
535,345.181,515,365.181,1126.58,1
515.183,585,445,524.817,8115.11,1
515,974.816,675,934.816,2060.65,1
445,524.814,515.186,585,117.183,1
515.188,585,445,524.812,8114.29,1
675,864.81,675,934.81,135.259,1
445,524.809,515.191,585,5407.11,1
105.193,815,55.1926,545,1418.87,1
435,125.193,594.807,15,444.605,1
515,365.194,535,345.194,1303.72,1
675,934.805,675,864.805,1407.14,1
515.196,585,445,524.804,8113.02,1
515,974.804,675,934.804,2061.03,1
515,365.2,535,345.2,1303.72,1
594.796,15,435,125.204,287.243,1
515,974.795,675,934.795,2061.29,1
594.794,15,435,125.206,287.241,1
105.206,815,55.2063,545,1419.03,1
694.791,295,835,385.209,636.358,1
594.788,15,435,125.212,287.237,1
594.787,15,435,125.213,287.237,1
515,365.217,535,345.217,1303.72,1
535,345.218,515,365.218,1126.58,1
55.2187,545,145.219,345,972.925,0
105.226,815,55.2262,545,1419.26,1
435,125.227,594.773,15,444.605,1
445,524.772,515.228,585,117.072,1
515.23,585,445,524.77,8107.45,1
675,864.769,675,934.769,135.31,1
675,934.766,675,864.766,1407.61,1
445,524.765,515.235,585,5401.48,1
675,864.764,675,934.764,135.316,1
515.238,585,445,524.762,8106.19,1
515,974.762,675,934.762,2062.27,1
515.239,585,445,524.761,8106.01,1
664.759,635,535,345.241,102.045,1
55.2416,545,145.242,345,972.987,0
55.2427,545,145.243,345,972.99,0
55.2446,545,145.245,345,972.995,0
535,345.264,515,365.264,1126.58,1
55.2649,545,145.265,345,973.05,0
664.732,635,515.268,585,163.49,1
675,934.719,675,864.719,1408.18,1
594.717,15,435,125.283,287.193,1
675,934.712,675,864.712,1408.26,1
675,864.711,675,934.711,135.382,1
675,864.71,675,934.71,135.384,1
445,524.709,515.291,585,5394.4,1
675,934.707,675,864.707,1408.33,1
445,524.705,515.295,585,5393.85,1
675,864.702,675,934.702,135.394,1
445,524.699,515.301,585,5393.15,1
105.305,815,55.305,545,1420.16,1
105.313,815,55.3128,545,1420.25,1
105.314,815,55.3141,545,1420.26,1
105.316,815,55.3158,545,1420.28,1
435,125.316,594.684,15,444.605,1
515,974.68,675,934.68,2064.68,1
694.678,295,835,385.322,636.267,1
535,345.327,515,365.327,1126.58,1
515,365.329,535,345.329,1303.72,1
515,974.669,675,934.669,2065.01,1
515,365.331,535,345.331,1303.72,1
835,385.335,914.665,415,562.216,1
694.664,295,835,385.336,636.256,1
435,125.337,594.663,15,444.605,1
675,934.662,675,864.662,1408.87,1
515.339,585,445,524.661,8089.84,1
664.658,635,515.342,585,2721.31,1
535,345.343,515,365.343,1126.58,1
535,345.344,515,365.344,1126.58,1
535,345.36,515,365.36,1126.58,1
694.639,295,835,385.361,636.236,1
515,365.363,535,345.363,1303.72,1
515.365,585,445,524.635,8085.58,1
515.367,585,445,524.633,8085.33,1
515.368,585,445,524.632,175.23,1
675,864.623,675,934.623,135.492,1
675,934.622,675,864.622,1409.35,1
