385,75.1141,345,45.1141,1397.82,1
754.88,155,835,205.12,791.413,1
245.123,695,145.123,605,32544.6,1
924.874,805,814.874,675,695.08,1
945,525.129,844.871,585,697.201,1
785,275.13,835,205.13,883.803,1
345,45.1315,385,75.1315,1333.82,1
924.867,805,814.867,675,695.106,1
405,844.865,335,974.865,4074.39,1
405,844.864,335,974.864,4074.43,1
595,5.13928,754.861,155,809.737,1
945,525.141,844.859,585,697.227,1
844.857,585,814.857,635,938.69,1
335,974.856,405,844.856,2877.53,1
335,974.853,405,844.853,2877.58,1
785,275.149,835,205.149,883.87,1
814.849,675,814.849,635,1020.4,1
195.154,275,205.154,155,4614.04,1
785,275.155,835,205.155,883.89,1
405,844.844,335,974.844,4075.12,1
924.84,805,814.84,675,695.201,1
924.839,805,814.839,675,695.206,1
924.838,805,814.838,675,695.21,1
994.836,135,835,205.164,464.473,1
814.835,675,814.835,635,1020.49,1
814.834,675,814.834,635,1020.5,1
945,525.168,844.832,585,697.28,1
205.169,155,195.169,275,2381.49,1
205.17,155,195.17,275,2381.49,1
195.174,275,205.174,155,4614.04,1
335,974.824,405,844.824,2878.16,1
195.179,275,205.179,155,4614.04,1
785,275.181,835,205.181,883.983,1
345,45.1818,385,75.1818,1334.13,1
555.184,695,694.816,555,2818.56,1
555.185,695,694.815,555,2818.56,1
555.187,695,694.813,555,2818.56,1
405,844.811,335,974.811,4076.27,1
195.191,275,205.191,155,4614.04,1
814.807,635,814.807,675,1030.44,1
245.194,695,145.194,605,32544.6,1
844.804,585,814.804,635,938.999,1
844.803,585,814.803,635,939.004,1
205.199,155,195.199,275,2381.49,1
694.8,555,814.8,635,1565.08,1
924.797,805,814.797,675,695.356,1
595,5.2037,754.796,155,809.947,1
924.795,805,814.795,675,695.366,1
814.793,675,814.793,635,1020.76,1
245.209,695,145.209,605,32544.6,1
835,205.211,785,275.211,709.629,1
345,45.2125,385,75.2125,1334.32,1
945,525.215,844.785,585,697.377,1
844.783,585,814.783,635,939.116,1
844.782,585,814.782,635,939.123,1
335,974.78,405,844.78,2879.05,1
405,844.779,335,974.779,4077.4,1
335,974.778,405,844.778,2879.09,1
814.776,675,814.776,635,1020.88,1
814.774,635,814.774,675,1030.66,1
814.773,675,814.773,635,1020.89,1
